APPLICATION,           CATEGORY,                    APPID,
"7-Zip",               "file utility",              "7zip.7zip",
"Aquile Reader",       "ebook reader",              "9P08T4JLTQNK",
"CrystalDiskInfo",     "HDD/SSD utility",           "XP8K4RGX25G3GM",
"CMake",               "build utility",             "Kitware.CMake",
"Dopamine",            "audio player",              "Digimezzo.Dopamine.2",
"Dropbox",             "file sync",                 "Dropbox.Dropbox",
"Git Extensions",      "Git client",                "GitExtensionsTeam.GitExtensions",
"Git for Windows",     "source code management",    "Git.Git",
"Google Chrome",       "web browser",               "Google.Chrome",
"Greenshot",           "screenshot utility",        "Greenshot.Greenshot",
"grepWin",             "search tool",               "StefansTools.grepWin",
"inSSIDer",            "Wifi tool",                 "MetaGeek.inSSIDer",
"IrfanView",           "image viewer",              "9PJZ3BTL5PV6",
"KDiff3",              "file compare tool",         "KDE.KDiff3",
"KeePassXC",           "password manager",          "XP8K2L36VP0QMB",
"Kodi",                "media center",              "9NBLGGH4T892",
"LibreOffice",         "office suite",              "TheDocumentFoundation.LibreOffice",
"Microsoft Teams",     "messenger",                 "XP8BT8DW290MPQ",
"Mozilla Firefox",     "web browser",               "9NZVDKPMR9RD",
"Mozilla Thunderbird", "email client",              "Mozilla.Thunderbird",
"Mp3tag",              "MP3 tag editor",            "9NN77TCQ1NC8",
"Nearby Share",        "file sync",                 "Google.NearbyShare",
"Netflix",             "video player",              "9WZDNCRFJ3TJ",
"Notepad++",           "text editor",               "Notepad++.Notepad++",
"OBS Studio",          "video recorder",            "XPFFH613W8V6LV",
"One Calendar",        "desktop calendar",          "9WZDNCRDR0SF",
"Pandoc",              "document converter",        "JohnMacFarlane.Pandoc",
"PrusaSlicer",	       "3D object slicer",          "Prusa3D.PrusaSlicer",
"Rufus",               "ISO image writer",          "9PC3H3V7Q9CH",
"Signal",              "messenger",                 "OpenWhisperSystems.Signal",
"smartmontools",       "HDD/SSD utility",           "smartmontools.smartmontools",
"Spotify",             "audio player",              "9NCBCSZSJRSB",
"Typora",              "Markdown editor",           "Typora.Typora",
"Visual Studio Code",  "code editor",               "XP9KHM4BK9FZ7Q",
"VLC",                 "video player",              "XPDM1ZW6815MQM",
"Windows Terminal",    "console terminal",          "9N0DX20HK701",
"WhatsApp",            "messenger",                 "9NKSQGP7F2NH",
"Zoom",                "video conference software", "Zoom.Zoom",
